Cus_codigo;for_codigo;Cus_Nome;Cus_desconto1;Cus_desconto2;Cus_desconto3;Cus_desconto4;Cus_IPI;Cus_Frete;Cus_Icms;Cus_Embalagens;Cus_Financeira;Cus_Simples;Cus_outros;Cus_obs;Cus_MargValAgreg;Cus_IcmsDestino;Cus_TributacaoICMS;Cus_situacao;Cus_Importacao;Cus_Cambio;Cus_TpVlNFo;Cus_NFoICMS;Cus_NFoOutros;Cus_NFoIPI;Cus_NFoSimples;Cus_NFoEmbalagem;Cus_NFoFinanceiro;Cus_NFoFrete;Cus_NFoDesconto;Cus_ICMSDifAlqIPI;Cus_PorcCartao;Cus_STEmbalagem;Cus_CreditoICMS;Cus_CreditoPIS;Cus_CreditoCOFINS;Cus_CustoFixo;Cus_Desconto;Cus_FreteemCompra;Cus_ICMSValorCompra
0;26;;;;;;;;;;;;;;;;;A;;;;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
0;55;EVOLED;;;;;;;;;;;;;;;;A;;;;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
1;1;TESTE;65,5100;;;;10,0000;;12,0000;;;8,0000;;;40;18;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
2;2;ILUMINAR;0,0000;;;;5,0000;;0,0000;;;0,0000;0,0000;TABELA APLICADA PREÇO / 3,2  IPI DE 5% // CORRETO É DE 15%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
3;3;BLUMENOX NADIR;38,0000;;;;15,0000;;21,1000;;;;;* Margem Aplicada de 2,50 *  APLICAR DESCONTO 38%  - ST: 21,10% - IPI: 15%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;True;;False;;;;;;False;False
4;4;OSRAM 1;;;;;0,0000;;0,0000;;;;;* Margem Aplicada de 2,10 *   Preço da tabela ja com impostos;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
33;5;PIULUCCE;;;;;0,0000;;9,0000;;;;;* Margem Aplicada de 2,50 *   - ST : 9% - IPI ISENTO;48;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
34;6;ALTENA TRILHOS;;;;;5,0000;;8,2400;;;;;* Margem Aplicada de 2,20 *  - ST para Trilhos: 8,24% - IPI: 5,00%   5%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
35;6;ALTENA SPOT;0,0000;;;;15,0000;;9,7500;;;;;* Margem Aplicada de 2,40 *  - ST para Spot: 9,75% - IPI: 15%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
36;7;BERTOLUCCI;40,0000;;;;0,0000;;0,0000;;;;;MARGEM 2,3  DESCONTO DE 40%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
37;8;MAXIMO FONTE INTRAL;;;;;0,0000;;12,6300;;;;0,0000;- Valor de tabela já com 30% de desconto. * MARGEM DE 2,5 *  ST: 12,63%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
38;8;MAXIMO FONTE LUXXEL;;;;;15,0000;;11,6500;;;;;- Valor de tabela já com 30% desconto. * Margem Aplicada de 2,50 *  - ST : 11,65% - IPI 15%;56,92;11,65;;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
39;8;MAXIMO LUMINARIAS;;;;;0,0000;;12,6300;;;;0,0000;* Margem Aplicada de 2,50 *  - ST Luminirias: 12,63%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;False;;False;;;;;;False;False
40;9;STELLA DESIGN 1;;;;;5,0000;;27,2000;;;;;Margem Aplicada de 2,50 *   - ST :27,20% - IPI 5%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
41;9;STELLA DESIGN 2;;;;;15,0000;;31,6200;;;;;Margem Aplicada de 2,50 *   - ST :31,62% - IPI 15%;43;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
42;10;STH LÂMP 42;;;;;6,5000;;0,0000;;;;;* Margem Aplicada de 2,10 *   - ST isento - IPI 6,5%;77;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
43;10;STH SOLO 43;;;;;15,0000;;33,5600;;;;;* Margem Aplicada de 2,50 *   - ST :33,56% - IPI 15%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
44;10;STH ACESSORIOS 45;;;;;9,7500;;30,4600;;;;;* Margem Aplicada de 2,10 *   - ST: 30,46% - IPI: 9,75%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
45;10;STH ACESORIOS 44;;;;;5,0000;;30,9000;;;;;* Margem Aplicada de 2,10 *   - ST :30,9% - IPI 5%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
46;11;DRAMALUX;;;;;0,0000;;0,0000;;;;0,0000;MARGEM APLICADA: 2,5 (GERAL SEM APLICAR IMPOSTOS)  ST: 8,82% - IPI ISENTO;0;0;;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
47;10;STH PEÇAS 47;;;;;9,7500;;33,0000;;;;;MARGEM APLICADA DE 2,5   IPI: 9,75% - ST:33%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
48;12;WAGNER ARCHELA;;;;;0,0000;;20,0000;;;;;MARGEM VALOR - 2,5  IPI - ISENTO   ST - 20%  I;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
49;14;HUNTER VENTILADORES;;;;;15,0000;;0,0000;;;;;Margem - 2,10  IPI - 15%   ST - 0;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
50;14;HUNTER ACESSÓRIOS;;;;;10,0000;;0,0000;;;;;Margem 2,10  IPI 10%    ST 0;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
51;14;HUNTER KIT DE ILUMINAÇÃO;;;;;15,0000;;0,0000;;;;;Margem 2,10  IPI 15 %    ST 0%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
