for_codigo;Ipr_descricao;Ipr_custo;Ipr_produto;Ipr_vl_Tabela;Ipr_vl_Custo;Ipr_vl_com_inter;Ipr_vl_com_exter;Ipr_vl_venda;Ipr_desconto;Ipr_Lucro;Ipr_vl_Lucro;Ipr_Indice;Ipr_CodigoSigla;Ipr_situacao;Ipr_IndiceVlCusto;Ipr_VlLucroCusto;Ipr_CustoTotal
1;ITESTE;1;LINNY ARANDELA;252,0000;129,4200;4,0000;10,0000;252,0000;;34,6429;87,3000;1,0000;1;A;;;
2;ILUMINAR;2;LINNY ARANDELA FOCO DUPLO FECHADO 26X76 H=76;197,0000;206,8500;0,0000;0,0000;640,2500;0,0000;67,6923;433,4000;3,2500;2;A;3,1;209,5238;206,85
2;ILUMINAR ESPECIAL;261;LUA PLAFON DE SOBREPOR D=420X130 MM FLUOR. EL;276,0000;289,8000;0,0000;0,0000;814,2000;0,0000;64,4068;524,4000;2,9500;260;A;2,81;180,9524;289,8
2;ILUMINAR PREÇO 2;357;LUA PLAFON DE SOBREPOR Ø=630X165 MM FLUOR.;755,0000;792,7500;0,0000;0,0000;2695,3500;0,0000;70,5900;1902,6000;3,5700;355;A;3,4;240;792,75
2;ILUMINAR SLOT / GAP;317;SLOT PERFIL DE EMBUTIR L=28MM C= 500MM;76,0000;76,0000;0,0000;0,0000;243,2000;0,0000;68,7500;167,2000;3,2000;316;A;3,2;220;76
3;BLUMENOX;3;;39,5300;33,3600;0,0000;0,0000;70,1300;0,0000;52,4312;36,7700;1,7700;3;A;2,1;110,2218;33,36
3;BLUMENOX  IMPOSTO AP;259;EBT-10047 EMBUTIDO TITAN;270,1400;270,1400;0,0000;0,0000;675,3500;;60,0000;405,2100;2,5000;257;A;2,5;150;270,14
3;BLUMENOX OUTRA LINHA;225;PLM-610 - PLAFON MOON BRANCO FOSCO 220MM 2XE2;135,9900;124,0000;0,0000;0,0000;260,6600;0,0000;52,4285;136,6600;1,9200;224;A;2,1;110,2097;124
4;OSRAM - SP;382;LED PAR38 IP65 13.5W 6500K 1460LM BIVE27;65,6100;65,6100;0,0000;0,0000;209,9500;0,0000;68,7497;144,3400;3,2000;381;A;3,2;219,997;65,61
4;OSRAM 1;4;LAMP INC V. LISA 220V 25W SIL E27 10X5;3,3700;3,3700;0,0000;0,0000;7,0699;0,0000;52,3338;3,7000;2,1000;4;A;2,1;109,7923;3,37
4;OSRAM LUMINARIAS;147;LUM MONAVI PRETA;168,6900;168,6900;0,0000;0,0000;421,7200;0,0000;59,9995;253,0300;2,5000;146;A;2,5;149,997;168,69
5;PIULUCCE;33;EMBUTIDO DE PAREDECAIXA DE EMBUTIR:CHAPA/FREN;112,1200;122,2100;0,0000;0,0000;284,4700;0,0000;57,0394;162,2600;2,5400;33;A;2,33;;
6;ALTENA SPOT;35;SPOT SIMI C/ PLUG ALTRAC PAR-16/DICRO (GU-10);74,9800;93,5400;0,0000;0,0000;198,5100;;52,8789;104,9700;2,6500;35;A;2,12;112,2194;93,54
6;ALTENA TRILHOS;34;TRILHO ELETRIFICADO ALTRAC 1M (BRANCO FOSCO);99,9800;113,2200;0,0000;0,0000;233,1900;;51,4500;119,9700;2,3300;34;A;2,06;;
7;BERTOLUCCI;36;ABAETÉ PQ.PE;2100,0000;1260,0000;0,0000;0,0000;2898,0000;0,0000;56,5217;1638,0000;1,3800;36;A;2,3;130;1260
7;BERTOLUCCI PÇ SUGERI;299;2050 - PALM SPRINGS.PE.CORES CLARAS;7325,5000;7325,5000;0,0000;0,0000;16848,6500;0,0000;56,5200;9523,1500;2,3000;297;A;2,3;;
8;MAXIMO F. INTRAL;37;;42,0000;47,3000;0,0000;0,0000;110,3000;0,0000;57,1170;63,0000;2,6300;37;A;2,33;133,1924;47,3
8;MAXIMO F. LUXXEL;38;;40,0000;51,3600;0,0000;0,0000;111,3600;0,0000;53,8793;60,0000;2,7800;38;A;2,17;116,8224;51,36
8;MAXIMO LUMINARIAS;39;;65,0000;73,2100;0,0000;0,0000;170,7100;0,0000;57,1144;97,5000;2,6300;39;A;2,33;133,1785;73,21
10;STELLA FONTE;313;STH5899;160,0000;166,0000;0,0000;0,0000;344,0000;0,0000;51,7442;178,0000;2,1500;311;A;2,07;107,2289;166
10;STELLA FONTE / SP;355;STH5899;160,0000;166,0000;0,0000;0,0000;375,6000;0,0000;55,8040;209,6000;2,3500;353;A;2,26;126,2651;166
10;STELLA SPOT / SP;360;TRILHO DE EMBUTIR 1M - BRANCO;49,9000;73,6500;0,0000;0,0000;160,9800;0,0000;54,2490;87,3300;3,2300;358;A;2,19;118,5743;73,65
10;STELLA TECH FITA /SP;356;5W/M | FITA 12V ECO;9,7800;10,7300;0,0000;0,0000;23,5500;0,0000;54,4374;12,8200;2,4100;356;A;2,19;119,4781;10,73
10;STELLA TRILHO / SP;363;TRACE TRILHO DE EMBUTIR - 2M PRETO;238,9000;315,8300;0,0000;0,0000;733,9100;0,0000;56,9661;418,0800;3,0700;361;A;2,32;132,375;315,83
10;STELLATECH - FITA;314;5W/M | FITA 12V ECO;9,7800;10,7300;0,0000;0,0000;21,4900;0,0000;50,0698;10,7600;2,2000;312;A;2;100,2796;10,73
10;STELLATECH 40;318;TRACE TRILHO DE EMBUTIR - 2M PRETO;238,9000;315,8300;0,0000;0,0000;674,1800;0,0000;53,1535;358,3500;2,8200;317;A;2,13;113,4629;315,83
10;STELLATECH 41;319;TRILHO DE EMBUTIR 1M - BRANCO;49,9000;73,6500;0,0000;0,0000;148,0200;0,0000;50,2432;74,3700;2,9700;318;A;2,01;100,9776;73,65
10;STH 1;43;KIT BARRAS LED 90CM 4,5W;77,0000;114,3900;0,0000;0,0000;229,8900;0,0000;50,2400;115,5000;2,9900;43;D;2,01;100,9704;114,39
10;STH 2;45;FONTE 9W (0,75A);19,2000;26,0900;0,0000;0,0000;46,4900;0,0000;43,8804;20,4000;2,4200;44;D;1,78;78,1909;26,09
10;STH 3;44;ACESSORIOS;17,9000;25,1000;0,0000;0,0000;44,0200;0,0000;42,9805;18,9200;2,4600;45;A;1,75;75,3785;25,1
10;STH 4;47;PEÇAS;24,9000;35,5500;0,0000;0,0000;73,8600;0,0000;51,8684;38,3100;2,9700;47;A;2,08;107,7637;35,55
10;STH ACESSORIOS / SP;364;ACESSORIOS;17,9000;25,1000;0,0000;0,0000;48,5500;0,0000;48,3007;23,4500;2,7100;363;A;1,93;93,4263;25,1
10;STH LÂMP;42;LAMPADA;12,9000;13,7400;0,0000;0,0000;27,9300;0,0000;50,8056;14,1900;2,1700;42;A;2,03;103,2751;13,74
