id;idPai;Caption;NomeMenu;Form;SQLs;Campos;Tabelas
1;1;Tabelas;abelas1;;0;0;
2;165;----------> Acabamentos;mFrmgrid_acabamentos;Frmgrid_acabamentos;2;13;acabamento,dbo
3;1;-----> Ambientes;mFrmGrid_Ambientes;FrmGrid_Ambientes;1;8;ambiente
4;189;----------> Unidades da Federação;mFrmGrid_estado;FrmGrid_estado;1;14;estado
5;189;----------> Municípios;mFrmgrid_municipios;Frmgrid_municipios;1;12;municipio
6;1;-----> Profissões;mFrmgrid_profissoes;Frmgrid_profissoes;1;8;profiss
7;1;-----> Cobrança de Projetos;mFrmCob_projeto;Frmcob_projeto;1;8;cob_projetos
8;1;-----> Condições de Pgtos/Recebtos;mnfin;;0;0;
9;163;----------> Condições de Venda de Produtos;mfrmgrid_forma_pagamento;FrmGrid_Forma_pagamento;1;21;forma_pagamento
10;163;----------> Condições de Pgtos/Recebtos para Módulo Financeiro;mFrmGrid_forma_pag_fin;FrmGrid_forma_pag_fin;1;11;forma_pagamento_fin
11;165;----------> Unidades;mFrmGrid_Unidade;FrmGrid_Unidade;1;5;unidades
12;1;-----> Motivos;mfrmGrid_MotivoDevolucao;frmGrid_MotivoDevolucao;1;5;motivo_devolucao
13;163;----------> Agências;mFrmgrid_BancoCaixa;Frmgrid_BancoCaixa;0;1;
14;163;----------> Contas Bancárias;mFrmgrid_Contas;Frmgrid_Contas;1;19;contas_bancarias
15;163;----------> Caixas;mFrmGrid_Cadcaixa;FrmGrid_CadCaixa;2;8;dbo
16;163;----------> Tipos de Documentos;mFrmgrid_TipoDocumento;Frmgrid_TipoDocumento;1;4;tipo_documento
17;163;----------> Modos de Pgtos/Recebtos;mFrmGrid_doc_pag;FrmGrid_doc_pag;1;17;modo
18;1;-----> Mensagens;mFrmGrid_messagem_rel;FrmGrid_messagem_rel;1;0;mensagem_relatorio
19;19;Cadastros;Cadastros1;;0;0;
20;19;-----> Clientes;mfrmgrid_Clientes;;0;0;
21;19;-----> Fornecedores;mfrmGrid_Fornecedores;;0;0;
22;19;-----> Profissional Externo;mfrmGrid_Indicacoes;FrmGrid_Indicacoes;1;41;indicacoes
23;19;-----> Colaboradores;mfrmgrid_Funcionario;;0;0;
24;19;-----> Transportadoras;mfrmGrid_Transportadora;;0;0;
25;19;-----> Serviços;mFrmGrid_servicos;FrmGrid_Servicos;1;17;servicos
26;19;-----> Custo;mFrmGrid_custo;FrmGrid_custo;3;42;custo,fornecedor
27;19;-----> Índice de Vl. de Venda;mFrmGrid_Indice;FrmGrid_Indice;3;19;fornecedor,indice_preco
28;19;-----> Produtos;Produtos;;0;0;
29;28;----------> Banco Principal;mFrmGrid_Produtos;;0;0;
30;28;----------> Banco de Produtos;mREP0_FrmGrid_Produtos;;0;0;
31;28;----------> Alteração de produto relacionado;mFrmproduto_relacionado_baseado;Frmproduto_relacionado_baseado;5;0;dbo,produto_relacionados
32;19;-----> Empresa;mFrmEmpresa;Frmempresa;3;78;dbo,empresa,ged
33;19;-----> Centro de Custo;mFrmgrid_CentroCustos;Frmgrid_CentroCustos;1;6;centro_de_custo
34;19;-----> Plano de  Contas;mFrmgrid_PlanoContas;Frmgrid_PlanoContas;1;18;plano_contas
35;19;-----> Filiais;mFrmgrid_filial;FrmGrid_filial;1;28;filiais
36;36;Vendas;Emisso1;;0;0;
37;36;-----> Pasta;mFrmGridPastaProj;;0;0;
38;36;-----> Orçamento;mVEN0_FrmGridVenda;;0;0;
39;36;-----> Pedido de Venda;mVEN1_FrmGridVenda;;0;0;
145;88;----------> Aniversariantes;mfrmSelRelAniversariantes;frmSelRelAniversariantes;0;8;
41;36;-----> Devolução de Venda;mFrmGridDevolucao;;0;0;
281;85;----------> Estoque Atual e Físico por data;mFrmSelRelEstoqueData;FrmSelRelEstoqueData;1;2;fornecedor
44;44;Compras;Compras1;;0;0;
45;44;-----> Pedido;mFrmGrid_pedido_compra;FrmGrid_pedido_compra;5;15;clientes,dbo,pedido_compra
46;44;-----> Ordem;mFrmGrid_ordem_compra;FrmGrid_ordem_compra;3;21;dbo,fornecedor
47;44;-----> Nota de Entrada;mFrmGrid_nota_entrada;FrmGrid_nota_entrada;7;28;dbo,estoque_produto,fornecedor,nota_entrada_dif,transportadora
48;48;Movimentação;Movimentao1;;0;0;
49;48;-----> Controle de Entrega;mFrmgrid_controle_entrega;Frmgrid_controle_entrega;4;15;clientes,controle_entrega,controle_entrega_prod
146;55;-----> Controle de acerto com eletricista;mfrmGridAcertoEletrecistas;frmGridAcertoEletrecistas;0;0;
51;48;-----> Estoque;Estoque1;;0;0;
52;51;----------> Consulta;mFrmConsulta_estoque;FrmConsulta_estoque;6;44;dbo,empresa,estoquetipo,ged
53;51;----------> Lançamento;mFrmGrid_lancest;FrmGrid_LancEst;4;0;estoque_produto,fornecedor,lancamento_estoque,lancamento_estoque_det
54;48;-----> Transferência para Filial;mFrmGrid_Transf_filiais;FrmGrid_Transf_filiais;4;0;dbo,estoque_produto,filiais,transferencia_filiais_produtos
55;55;Financeiro;Financeiro1;;0;0;
56;55;-----> Contas a Pagar;ContasaPagar1;;0;0;
57;56;----------> Lançamento;mFrmGridContas_apagar;FrmGridContas_apagar;9;82;contas_apagar,contas_apagar_det,contas_apagar_pag,dbo,empresa,fornecedor,modo,motivo_devolucao,tipo_documento
58;55;-----> Contas a Receber;ContasaReceber1;;0;0;
59;58;----------> Lançamentos;mFrmGridContas_receber;FrmGridContas_receber;11;84;clientes,contas_receber_det,contas_receber_pag,dbo,empresa,fornecedor,modo,motivo_devolucao,tipo_documento
60;55;-----> Caixa;Caixa1;;0;0;
61;60;----------> Lançamento;mFrmGrid_caixa;FrmGrid_caixa;4;25;bancos_caixas,contas_bancarias,dbo,movimentos
62;60;----------> Transferência de caixa para conta bancária;mREP0_FrmGrid_Trasnf_finaceira;;0;0;
63;60;----------> Transferência de caixa para caixa;mREP1_FrmGrid_Trasnf_finaceira;;0;0;
64;55;-----> Movimentos Bancários;MovimentosBancarios1;;0;0;
65;64;----------> Lançamentos;mFrmgrid_Mov_bancario;FrmGrid_Mov_Bancario;4;30;bancos_caixas,contas_bancarias,movimento_bancario
66;64;----------> Transferência de conta bancária para caixa;mREP2_FrmGrid_Trasnf_finaceira;;0;0;
67;64;----------> Transferência de conta bancária para conta bancária;mREP3_FrmGrid_Trasnf_finaceira;;0;0;
69;55;-----> Fluxo de Caixa Ortodoxo;mFrmFluxo_caixa_ortodoxo;FrmFluxo_caixa_ortodoxo;1;5;sisusuarioscontasbancarias
70;55;-----> Fluxo de Caixa Otimista;mFrmFluxo_caixa_otimista;FrmFluxo_caixa_otimista;0;5;
71;71;CRM;CRM1;;0;0;
72;71;-----> Pós-Venda;mFrmGrid_pos_venda;FrmGrid_pos_venda;3;0;clientes,dbo,fornecedor
73;73;Relatórios;Relatrios1;;0;0;
74;73;-----> Venda;Projetos1;;0;0;
76;74;----------> Quantitativo;mREP1_frmOpc_rel_pedido;;0;0;
77;74;----------> Controle Obra;mREP2_frmOpc_rel_pedido;;0;0;
78;74;----------> Ordem de Serviço;mREP3_frmOpc_rel_pedido;;0;0;
79;74;----------> Alterações em Projeto;mFrmOpc_Alteracoes_projetos;FrmOpc_Alteracoes_projetos;2;0;clientes,dbo,pedido
80;74;----------> Entrada por devolução sem confirmação do estoque;mFrmOpc_ent_dev_sem_conf;FrmOpc_ent_dev_sem_conf;3;0;clientes,dbo
82;74;----------> Pedidos de Vendas Fechados;mfrmOpc_Orcamento;FrmOpc_Orcamento;3;0;dbo,empresa,indicacoes
83;74;----------> Orçamento por consultor(a);mfrmopc_rel_orc_aten;FrmOpc_rel_orc_aten;0;0;
84;73;-----> Tabela de Preço;mfrmopc_rel_tabela_preco;FrmOpc_rel_tabela_preco;3;0;fornecedor,grupoproduto
85;73;-----> Estoque;Estoque3;;0;0;
86;85;----------> Estoque Atual;mfrmOpc_rel_estoque_atual;FrmOpc_rel_estoque_atual;3;9;dbo,fornecedor
87;85;----------> Conferencia de Valores;mfrmopc_listagem_conf_de_preco;FrmOpc_listagem_conf_de_preco;1;0;fornecedor
88;73;-----> Gerencial;Gerencial1;;0;0;
89;88;----------> Custo por Venda;mfrmOpc_Rel_Custo;FrmOpc_Rel_Custo;3;0;clientes,dbo,orcamento,pedido
90;88;----------> Pedido de Venda por Profissional;mREP1_FrmOpc_Orcamento;;0;0;
91;88;----------> Ranking Profissional;mFrmOpc_ramking;FrmOpc_ramking;6;16;categoriaprofissionaisexterno,dbo,empresa,pedido,venda
