id;idPai;Caption;NomeMenu;idApresentacao;SisOpcoes_paises;SisOpcoes_Sistema;MenuWeb
1;1;Tabelas;abelas1;15;1,2;1,2,3,4;True
2;165;----------> Acabamentos;mFrmgrid_acabamentos;199;1,2;1,2,3,4;False
3;1;-----> Ambientes;mFrmGrid_Ambientes;45;1,2;1,2,3,4;False
4;189;----------> Unidades da Federação;mFrmGrid_estado;50;1,2;1,2,3,4;False
5;189;----------> Municípios;mFrmgrid_municipios;51;1,2;1,2,3,4;False
6;1;-----> Profissões;mFrmgrid_profissoes;90;1,2;1,2,3,4;False
7;1;-----> Cobrança de Projetos;mFrmCob_projeto;105;1,2;1,2,3,4;False
8;1;-----> Condições de Pgtos/Recebtos;mnfin;120;1,2;1,2,3,4;False
9;163;----------> Condições de Venda de Produtos;mfrmgrid_forma_pagamento;188;1,2;1,2,3,4;False
10;163;----------> Condições de Pgtos/Recebtos para Módulo Financeiro;mFrmGrid_forma_pag_fin;189;1,2;1,2,3,4;False
11;165;----------> Unidades;mFrmGrid_Unidade;198;1,2;1,2,3,4;False
12;1;-----> Motivos;mfrmGrid_MotivoDevolucao;180;1,2;1,2,3,4;False
13;163;----------> Agências;mFrmgrid_BancoCaixa;183;1,2;1,2,3,4;False
14;163;----------> Contas Bancárias;mFrmgrid_Contas;184;1,2;1,2,3,4;False
15;163;----------> Caixas;mFrmGrid_Cadcaixa;185;1,2;1,2,3,4;False
16;163;----------> Tipos de Documentos;mFrmgrid_TipoDocumento;186;1,2;1,2,3,4;False
17;163;----------> Modos de Pgtos/Recebtos;mFrmGrid_doc_pag;187;1,2;1,2,3,4;False
18;1;-----> Mensagens;mFrmGrid_messagem_rel;270;1,2;1,2,3,4;False
19;19;Cadastros;Cadastros1;300;1,2;1,2,3,4;True
20;19;-----> Clientes;mfrmgrid_Clientes;315;1,2;1,2,3,4;True
21;19;-----> Fornecedores;mfrmGrid_Fornecedores;330;1,2;1,2,3,4;False
22;19;-----> Profissional Externo;mfrmGrid_Indicacoes;345;1,2;1,2,3,4;True
23;19;-----> Colaboradores;mfrmgrid_Funcionario;360;1,2;1,2,3,4;True
24;19;-----> Transportadoras;mfrmGrid_Transportadora;375;1,2;1,2,3,4;False
25;19;-----> Serviços;mFrmGrid_servicos;390;1,2;1,2,3,4;False
26;19;-----> Custo;mFrmGrid_custo;405;1,2;1,2,3,4;False
27;19;-----> Índice de Vl. de Venda;mFrmGrid_Indice;420;1,2;1,2,3,4;False
28;19;-----> Produtos;Produtos;435;1,2;1,2,3,4;False
29;28;----------> Banco Principal;mFrmGrid_Produtos;450;1,2;1,2,3,4;False
30;28;----------> Banco de Produtos;mREP0_FrmGrid_Produtos;465;1,2;1,2,3,4;False
31;28;----------> Alteração de produto relacionado;mFrmproduto_relacionado_baseado;480;1,2;1,2,3,4;False
32;19;-----> Empresa;mFrmEmpresa;495;1,2;1,2,3,4;False
33;19;-----> Centro de Custo;mFrmgrid_CentroCustos;510;1,2;1,2,3,4;False
34;19;-----> Plano de  Contas;mFrmgrid_PlanoContas;525;1,2;1,2,3,4;False
35;19;-----> Filiais;mFrmgrid_filial;540;1,2;1,2,3,4;False
36;36;Vendas;Emisso1;555;1,2;1,2,3,4;True
37;36;-----> Pasta;mFrmGridPastaProj;570;1,2;1,2,3,4;False
38;36;-----> Orçamento;mVEN0_FrmGridVenda;585;1,2;1,2,3,4;True
39;36;-----> Pedido de Venda;mVEN1_FrmGridVenda;600;1,2;1,2,3,4;False
145;88;----------> Aniversariantes;mfrmSelRelAniversariantes;1545;1,2;1,2,3,4;False
41;36;-----> Devolução de Venda;mFrmGridDevolucao;615;1,2;1,2,3,4;False
281;85;----------> Estoque Atual e Físico por data;mFrmSelRelEstoqueData;1457;1,2;1,2,3,4;False
44;44;Compras;Compras1;675;1,2;1,2,3,4;True
45;44;-----> Pedido;mFrmGrid_pedido_compra;690;1,2;1,2,3,4;False
46;44;-----> Ordem;mFrmGrid_ordem_compra;705;1,2;1,2,3,4;False
