SisOpEsp_Codigo;SisOpEsp_Titulo;SisOpEsp_Descricao
1;CADASTRO DO CLIENTE;LIMITES DE COMPRA
2;FECHAMENTO DE CONTAS (CAIXAS\BANCÁRIOS);ABRIR CONTA
3;ALTERA QUANT. SUGERIDA PARA COMPRA;ALTERAR QUANTIDADE SUGERIDA DE PRODUTOS PELO SISTEMA PARA COMPRA
4;MOSTRAR MARGEM DE LUCRO POR VENDA;MOSTRAR MARGEM DE LUCRO POR VENDA
5;MARGEM DE DESCONTO PARA O CLIENTE;ALTERAR MARGEM DE DESCONTO PARA O CLIENTE
6;ALTERAR VALOR DOS PRODUTOS NA VENDA;ALTERAR VALOR UNITÁRIO DOS PRODUTOS NA VENDA
7;QUITAR CONTA PELO MÓDULO DE VENDA;QUITAR CONTA PELO MÓDULO DE VENDA
8;ALTERAR CONTA PELO MÓDULO DE VENDA;ALTERAR CONTA PELO MÓDULO DE VENDA
9;REQUISIÇÃO DE PRODUTOS;ESTOQUE E COMPRA PELA REQUISIÇÃO DE PRODUTOS
10;FINANCEIRO NOTA DO FORNECEDOR;NÃO CRIAR CONTA FINANCEIRA PELA ENTRADA DA NOTA FISCAL DO FORNECEDOR
11;NOTA DO FORNECEDOR - FINANCEIRO;PODER ESCOLHER SE DESEJA CRIAR LANÇAMENTO FINANCEIRO
12;GANHOS SOBRE VENDAS - FINANCEIRO;PODER ALTERAR CONTA A PAGAR DEPOIS DE FECHADO O GANHOS SOBRE VENDAS CORRESPONDENTE.
13;ATUALIZAR ORÇAMENTO;ATUALIZAÇÃO DO ORÇAMENTO.
14;QUANTIDADE MÁXIMA DE PARCELA;QUANTIDADE MÁXIMA DE PARCELA.
15;VALOR MÍNIMO PARA PARCELAMENTO;VALOR MÍNIMO PARA PARCELAMENTO.
16;FORMAS EXTRA DE PAG. NO ORÇAMENTO;FORMAS EXTRA DE PAGAMENTO NO ORÇAMENTO.
17;ALTERAÇÃO % DE RT NA VENDA;ALTERAÇÃO % DE RT NAS TELAS DE VENDA.
18;VALOR MÍNIMO DA PARCELA;VALOR MÍNIMO DA PARCELA.
19;ACESSAR RECIBO DE CONTAS A RECEBER;ACESSAR RECIBO DE CONTAS A RECEBER.
20;ACESSAR RECIBO DE CONTAS A PAGAR;ACESSAR RECIBO DE CONTAS A PAGAR.
21;ACESSAR DUPLICATAS;ACESSAR DUPLICATAS.
