SisPerEsp_Codigo;SisOpEsp_Codigo;idUsuario;idGrupo;SisPerEsp_permissao;Emp_codigo
13;1;;1;True;
14;2;;1;True;
15;3;;1;True;
16;4;;1;True;
17;5;;1;True;
18;6;;1;True;
19;7;;1;True;
20;8;;1;True;
21;9;;1;True;
22;10;;1;True;
23;11;;1;True;
24;12;;1;True;
25;13;;1;True;
26;14;;1;True;
27;15;;1;True;
28;16;;1;True;
29;17;;1;True;
30;18;;1;True;
31;19;;1;True;
32;20;;1;True;
33;21;;1;True;
34;22;;1;True;
35;23;;1;True;
36;24;;1;True;
37;25;;1;True;
38;26;;1;True;
39;27;;1;True;
40;28;;1;True;
41;29;;1;True;
42;30;;1;True;
43;31;;1;True;
44;32;;1;True;
45;33;;1;True;
46;34;;1;True;
47;35;;1;False;
48;36;;1;True;
49;37;;1;True;
50;38;;1;True;
51;40;;1;True;
52;41;;1;True;
53;1;;3;True;
54;2;;3;True;
55;3;;3;True;
56;4;;3;True;
57;5;;3;True;
58;6;;3;True;
59;7;;3;True;
60;8;;3;True;
61;9;;3;True;
62;10;;3;True;
63;11;;3;True;
64;12;;3;True;
65;13;;3;True;
66;14;;3;True;
67;15;;3;True;
68;16;;3;True;
69;17;;3;True;
70;18;;3;True;
71;19;;3;True;
72;20;;3;True;
73;21;;3;True;
74;22;;3;True;
75;23;;3;True;
76;24;;3;True;
77;25;;3;True;
78;26;;3;True;
79;27;;3;True;
80;28;;3;True;
81;29;;3;True;
82;30;;3;True;
83;31;;3;True;
84;32;;3;True;
85;33;;3;True;
86;34;;3;True;
87;35;;3;False;
88;36;;3;True;
89;37;;3;True;
90;38;;3;True;
91;40;;3;True;
92;41;;3;True;
93;1;;2;False;
94;2;;2;False;
95;3;;2;False;
96;4;;2;False;
97;5;;2;False;
98;6;;2;False;
99;7;;2;False;
100;8;;2;False;
101;9;;2;False;
102;10;;2;False;
103;11;;2;False;
104;12;;2;False;
105;13;;2;True;
106;14;;2;False;
107;15;;2;False;
108;16;;2;True;
109;17;;2;True;
110;18;;2;False;
111;19;;2;False;
112;20;;2;False;
113;21;;2;False;
114;22;;2;True;
115;23;;2;False;
116;24;;2;False;
117;25;;2;True;
118;26;;2;True;
119;27;;2;True;
120;28;;2;False;
121;29;;2;False;
122;30;;2;False;
123;31;;2;False;
124;32;;2;False;
125;33;;2;True;
126;34;;2;False;
127;35;;2;True;
128;36;;2;True;
129;37;;2;False;
130;38;;2;False;
131;40;;2;True;
132;41;;2;True;
133;1;;5;False;
134;2;;5;False;
135;3;;5;False;
136;4;;5;False;
137;5;;5;False;
138;6;;5;False;
139;7;;5;False;
140;8;;5;False;
141;9;;5;True;
142;10;;5;False;
143;11;;5;True;
144;12;;5;False;
145;13;;5;False;
146;14;;5;False;
147;15;;5;False;
148;16;;5;False;
149;17;;5;False;
150;18;;5;False;
151;19;;5;False;
152;20;;5;False;
153;21;;5;False;
154;22;;5;False;
155;23;;5;True;
156;24;;5;False;
157;25;;5;False;
158;26;;5;False;
159;27;;5;False;
160;28;;5;True;
161;29;;5;False;
162;30;;5;True;
163;31;;5;False;
164;32;;5;False;
165;33;;5;False;
166;34;;5;False;
167;35;;5;False;
168;36;;5;False;
169;37;;5;False;
170;38;;5;False;
171;40;;5;False;
172;41;;5;False;
173;42;;5;False;
174;42;;2;False;
175;42;;3;True;
176;43;;3;True;
177;44;;3;True;
178;45;;3;True;
179;47;;1;True;
180;47;;2;True;
181;47;;3;True;
182;47;;4;True;
183;47;;5;True;
184;47;;6;True;
185;43;;5;True;
186;44;;5;True;
187;45;;5;False;
188;46;;5;False;
189;48;;5;True;
190;49;;5;False;
191;50;;5;True;
192;46;;3;True;
193;48;;3;True;
194;49;;3;True;
195;50;;3;True;
196;43;;2;False;
197;44;;2;False;
198;45;;2;False;
199;46;;2;False;
200;48;;2;False;
201;49;;2;False;
202;50;;2;False;
203;51;;3;True;
204;42;;1;True;
205;43;;1;True;
206;44;;1;True;
207;45;;1;True;
208;46;;1;True;
209;48;;1;True;
210;49;;1;True;
211;50;;1;True;
212;51;;1;True;
213;51;;5;False;
214;52;;1;True;
215;52;;2;True;
216;52;;3;True;
217;52;;4;True;
218;52;;5;True;
219;52;;6;True;
220;52;;7;True;
221;1;;7;False;
222;2;;7;False;
223;3;;7;False;
224;4;;7;False;
225;5;;7;False;
226;6;;7;False;
227;7;;7;False;
228;8;;7;False;
229;9;;7;False;
230;10;;7;False;
231;11;;7;False;
232;12;;7;False;
233;13;;7;True;
234;14;;7;False;
235;15;;7;False;
236;16;;7;True;
237;17;;7;False;
238;18;;7;False;
239;19;;7;False;
240;20;;7;False;
241;21;;7;False;
242;22;;7;False;
243;23;;7;False;
244;24;;7;True;
245;25;;7;True;
246;26;;7;False;
247;27;;7;False;
248;28;;7;False;
249;29;;7;False;
250;30;;7;False;
251;31;;7;False;
252;32;;7;False;
253;33;;7;True;
254;34;;7;False;
255;35;;7;False;
256;36;;7;False;
257;37;;7;True;
258;38;;7;False;
259;40;;7;False;
260;41;;7;False;
261;42;;7;False;
262;43;;7;False;
263;44;;7;False;
264;45;;7;False;
265;46;;7;True;
266;47;;7;True;
267;48;;7;False;
268;49;;7;False;
269;50;;7;False;
270;51;;7;False;
271;51;;2;False;
