SeqTab_Tabela;SeqTab_Campo;SeqTab_Numero;Emp_codigo
AltValorTabela;AltValTab_codigo;1;1
Ambiente;CodAmbiente;1002;1
Assistencia_Tecnica;ASTEC_Codigo;2;1
Assistencia_TecnicaMovimentacao;ASTECMov_Codigo;1;1
Assistencia_TecnicaNota;ASTECNota_Codigo;1;1
Assistencia_TecnicaProdutos;ASTECProd_Codigo;2;1
BalancoEstoque;BalEst_Codigo;410;1
BalancoEstoqueProdutos;BalEstProd_Codigo;8546;1
Bancos_Caixas;Bcx_codigo;18;1
Caracteristicas;Caract_Codigo;1;1
Cargo;Cargo_codigo;5;1
Cartoes;Cart_Codigo;1;1
CartoesBandeiras;CartBan_Codigo;1;1
CategoriaCliente;CatCli_Codigo;1;1
CategoriaProfissionaisExterno;CatProfExt_Codigo;1;1
CategoriaVenda;CatVen_Codigo;8;1
Centro_de_Custo;Cdc_codigo;5;1
Clientes;Cli_Codigo;9368;1
Cob_projetos;CPR_codigo;1;1
Coletas;col_codigo;20;1
ComissaoPremiacao;ComPre_codigo;3;1
ComissaoPremiacaoCond;ComPreCond_codigo;5;1
ComissaoPremiacaoVlVenda;ComPreVlV_Codigo;4;1
contabilista;Cntbt_codigo;2;1
contas_apagar;Ctp_codigo;35075;1
contas_apagar_det;ctp_codigo_det;52365;1
Contas_apagar_pag;Cpp_cod_pag;42668;1
Contas_Bancarias;Cba_codigo;22;1
Contas_BancariasCobranca;CbaCob_codigo;10;1
contas_receber;Ctr_codigo;10465;1
contas_Receber_det;ctr_codigo_det;21924;1
Contas_receber_pag;Crp_cod_pag;18164;1
ContatosPrincipais;ContPrinc_codigo;1;1
Controle_entrega;cen_codigo_pre;9732;1
Controle_entrega_Assinaturas;CenAs_codigo;4;1
controle_entrega_data;Ced_CodEntrega;145671;1
controle_entrega_prod;cep_codigo;80950;1
ControleNSU;ContrNSU_Codigo;1;1
ControleRH;CtrlRH_Codigo;539;1
Credito;Credito_Codigo;7482;1
CreditoIndicacao;CredInd_Codigo;2;1
Custo;Cus_codigo;433;1
Custo_log;Csl_codigo;720;1
DadosBancarios;DadBan_codigo;1;1
Designer;Desig_Codigo;1;1
