"tabela","ordem","coluna","tipo","max_length","precision","scale","is_nullable","is_identity","padrao"
"Categoria_GED","1","CatGED_codigo","int","4","10","0","False","False",""
"Categoria_GED","2","CatGED_Descricao","varchar","100","0","0","True","False",""
"Categoria_GED","3","usr_cod_criacao","int","4","10","0","True","False",""
"Categoria_GED","4","usr_dt_hr_criacao","datetime","8","23","3","True","False",""
"Categoria_GED","5","usr_cod_alteracao","int","4","10","0","True","False",""
"Categoria_GED","6","usr_dt_hr_alteracao","datetime","8","23","3","True","False",""
"Categoria_GED","7","Emp_codigo","int","4","10","0","True","False",""
"Categoria_GED","8","CatGED_Situacao","bit","1","1","0","True","False",""
"GED","1","GED_Codigo","float","8","53","0","False","False",""
"GED","2","GED_descricao","varchar","200","0","0","True","False",""
"GED","3","GED_Busca","ntext","16","0","0","True","False",""
"GED","4","GED_Obs","ntext","16","0","0","True","False",""
"GED","5","GED_Arquivo","varbinary","-1","0","0","True","False",""
"GED","6","CatGED_codigo","int","4","10","0","True","False",""
"GED","7","usr_cod_criacao","int","4","10","0","True","False",""
"GED","8","usr_dt_hr_criacao","datetime","8","23","3","True","False",""
"GED","9","usr_cod_alteracao","int","4","10","0","True","False",""
"GED","10","usr_dt_hr_alteracao","datetime","8","23","3","True","False",""
"GED","11","Emp_codigo","int","4","10","0","True","False",""
"GED","12","GED_CadastroCodigo","float","8","53","0","True","False",""
"GED","13","GED_situacao","char","1","0","0","True","False",""
"GED","14","GED_NomeArquivo","varchar","100","0","0","True","False",""
"GED","15","Codlanc","int","4","10","0","True","False",""
"GED","16","GED_CHAVE","varchar","50","0","0","True","False",""
"GED","17","GED_NSU","float","8","53","0","True","False",""
