"fk","tabela_origem","coluna_origem","tabela_destino","coluna_destino"
"FK_AltValorTabela_fornecedor","AltValorTabela","For_codigo","fornecedor","For_codigo"
"FK_AutorizaInclusao_CategoriaVenda","AutorizaInclusao","CatVen_Codigo","CategoriaVenda","CatVen_Codigo"
"FK_AutorizaInclusao_Clientes","AutorizaInclusao","cli_codigo","Clientes","Cli_Codigo"
"FK_AutorizaInclusao_Obras","AutorizaInclusao","Obr_Codigo","Obras","Obr_Codigo"
"FK_AutorizaInclusao_Servicos_AutorizaInclusao","AutorizaInclusao_Servicos","Ain_codigo","AutorizaInclusao","Ain_codigo"
"FK_AutorizoInclusao_Luminaria_AutorizaInclusao","AutorizoInclusao_Luminaria","Ain_codigo","AutorizaInclusao","Ain_codigo"
"FK_AutorizoInclusao_Materiais_AutorizaInclusao","AutorizoInclusao_Materiais","Ain_codigo","AutorizaInclusao","Ain_codigo"
"FK_Avulso_CategoriaVenda","Avulso","CatVen_Codigo","CategoriaVenda","CatVen_Codigo"
"FK_Avulso_Obras","Avulso","Obr_Codigo","Obras","Obr_Codigo"
"FK_BalancoEstoqueProdutos_BalancoEstoque","BalancoEstoqueProdutos","BalEst_Codigo","BalancoEstoque","BalEst_Codigo"
"FK_Bancos_Caixas_Bancos","Bancos_Caixas","Ban_codigo","Bancos","Ban_Codigo"
"FK_Bancos_Caixas_municipio","Bancos_Caixas","mun_codigo","Municipio","mun_codigo"
"FK_Cartoes_CartoesBandeiras","Cartoes","CartBan_Codigo","CartoesBandeiras","CartBan_Codigo"
"FK_clientes_municipio","Clientes","Cli_codcidade","Municipio","mun_codigo"
"FK_clientes_municipioCobranca","Clientes","Cli_codcidade_cob","Municipio","mun_codigo"
"FK_ComissaoPremiacao_CategoriaRemuneracao","ComissaoPremiacao","CatRem_Codigo","CategoriaRemuneracao","CatRem_Codigo"
"FK_ComissaoPremiacao_GrupoProduto","ComissaoPremiacao","GrupoProduto_Codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_ComissaoPremiacao_MetaVenda","ComissaoPremiacao","MetaVenda_Codigo","MetaVenda","MetaVenda_Codigo"
"FK_ComissaoPremiacaoCond_ComissaoPremiacao","ComissaoPremiacaoCond","ComPre_codigo","ComissaoPremiacao","ComPre_codigo"
"FK_ComissaoPremiacaoCond_MetaVenda","ComissaoPremiacaoCond","MetaVenda_Codigo","MetaVenda","MetaVenda_Codigo"
"FK_ComissaoPremiacaoCond_Rateio","ComissaoPremiacaoCond","Rateio_Codigo","Rateio","Rateio_Codigo"
