"tabela","linhas"
"estoque_produto_dia","8678690"
"Preco_Produto_Log","3158263"
"VendaProduto","549830"
"estoque_log","402161"
"VendaDesconto","300337"
"VendaIndicacaoGrupProd","232415"
"Preco_Produto","169764"
"controle_entrega_data","145480"
"VendaAmbiente","144674"
"Estoque_produto","141043"
"produtos","108992"
"ProdutosFornecedores","108604"
"ImportacaoProduto","87974"
"controle_entrega_prod","77835"
"Movimento_bancario","61046"
"contas_apagar_det","42161"
"Contas_apagar_pag","41981"
"VendaAtendente","37707"
"Pedido_compra_det","34863"
"VendaIndicacao","34666"
"Venda","34136"
"nota_entrada_det","31873"
"ordem_compra_det","30623"
"contas_apagar","30043"
"NotaFiscalProdutos","21883"
"VendaEstoqueVendido","20335"
"contas_Receber_det","18555"
"Contas_receber_pag","17885"
"Reserva_tecnica_GrupoProd","12108"
"DevolucaoProduto","11557"
"lancamento_estoque_det","10646"
"Obras","9454"
"HistoricoVersoesUsuario","9429"
"Controle_entrega","9381"
"Clientes","9322"
"contas_receber","9076"
"pedido_compra","8306"
"IndicacaoGrupProd","7569"
"FornecedorRTGrupProd","7504"
"Credito","7477"
"BalancoEstoqueProdutos","7412"
"FornecedorGrupProd","7252"
"Nota_entrada","6343"
"ordem_compra","5444"
"NotaFiscalContas","5016"
"observacoes","4905"
"VendaServico","4450"
"DevolucaoDesagio","3874"
"Devolucao","3810"
"Lancamento_estoque","3614"
"FornecFatMinimo","3468"
"Reserva_Estoque","3183"
"Movimentos","3006"
"NotaFiscal","2984"
"ControleCheque","2760"
"ControleChequeDet","2728"
"NotaFiscalImportaDoc","2454"
"Indice_precoGrupoUsuario","2059"
"Indice_preco_log","1976"
"Transferencia","1524"
"Indicacoes_Detalhe","1344"
"Indicacoes","1316"
"Reserva_tecnica","1212"
"SisPermissao","875"
"Pasta","872"
"fornecedor","868"
"SisBackup","826"
"custo_log","719"
"CFOP","613"
"Municipio","569"
"HistoricoVersoesLancamento","401"
"ControleRH","397"
"SisUsuariosGrid","397"
"HistoricoVersoes","387"
"Custo","385"
"Indice_preco","376"
"Ambiente","346"
"BalancoEstoque","324"
"TransferenciaEstoqueProduto","302"
"SisOpcoes","287"
"SisPermissaoEspecial","259"
"Texto_Substituicao","249"
"Acabamento","248"
"NotaFiscalComplementar","242"
"FornecedorEmpresaCompradora","227"
"SisSeqTabela","226"
"ProdutosRelacionados","222"
"ProdutosRelacionadosCadProdutos","222"
"ISSQNServicos","198"
"ProdutosRelacionadosDet","185"
"Forma_PagamentoGrupProd","169"
"Bancos","149"
"Profissão","149"
"Plano_Contas","140"
"NotaFiscalCCe","121"
"Funcionario","111"
"Forma_Pagamento_Parcela","101"
"TipoPeca","97"
"Produto_Relacionados","95"
"TransferenciaEstoque","88"
"Nota_Entrada_Dif","86"
"RequisicaoEstoqProd","80"
"SisUsuarios","79"
"ParamentrosCliente","71"
"Siscontrole","57"
"SisOpcoesEspecial","52"
"Contatos","52"
"DevolucaoServico","45"
"forma_pag_parc_fin","42"
"Transportadora","38"
"TipoPIS","33"
"Tipo_documento","33"
"TipoCOFINS","33"
"FechamentoComissaoConta","32"
"Estado","29"
"CartoesBandeiras","28"
"Servicos","27"
"Modo","26"
"Mensagem_Relatorio","24"
"Coletas","23"
"TabelaImposto","23"
"EtiquetaPronta","21"
"Contas_Bancarias","19"
"ParamentrosProfissional","19"
"RTCST","18"
"SPEDFormaPagamento","17"
"Motivo_devolucao","16"
"ComissaoPremiacaoGrup","16"
"Forma_Pagamento","16"
"forma_pagamento_fin","15"
"FechamentoContas","15"
"Bancos_Caixas","15"
"SisUsuariosContasBancarias","14"
"TipoIPI","14"
"GrauInstrucao","13"
"GrupoProduto","12"
"Tributacao","12"
"TipoTributadaICMS","11"
"RTClassTrib","11"
"Regiao","10"
"TipoCSOSN","10"
"TipoModBaseICMS","10"
"SPEDBandeiraCartao","10"
"TipoOrigemProduto","9"
"FechamentoMetaFunc","9"
"CategoriaVenda","8"
"Contas_BancariasCobranca","8"
"MetaVendaGrupProd","8"
"TipoExpedicao","8"
"SisGrupo_Usuario","7"
"SPEDPRESENCA","7"
"unidades","7"
"Setor","7"
"Plano_Contas_Tipo","7"
"ParametrosRTGrupoProdutos","7"
"FechamentoComissao","7"
"ParamentrosSerieVenda","6"
"TipoTributacaoServico","6"
"SPEDTipoFrete","6"
"TipoContaFinanceira","6"
"OrdemServicoSituacao","5"
"RacaCor","5"
"HistoricoVersoesSistema","5"
"DataGanhoVend","5"
"ClassificacaoProduto","5"
"Centro_de_custo","4"
"Beneficio_CST","4"
"Cargo","4"
