"tabela","ordem","coluna","tipo","max_length","precision","scale","is_nullable","is_identity","padrao"
"dtproperties","1","id","int","4","10","0","False","True",""
"dtproperties","2","objectid","int","4","10","0","True","False",""
"dtproperties","3","property","varchar","64","0","0","False","False",""
"dtproperties","4","value","varchar","255","0","0","True","False",""
"dtproperties","5","uvalue","nvarchar","510","0","0","True","False",""
"dtproperties","6","lvalue","image","16","0","0","True","False",""
"dtproperties","7","version","int","4","10","0","False","False","(0)"
"Preco_Produto","1","Pre_Codnosso","nvarchar","40","0","0","True","False",""
"Preco_Produto","2","Pre_Acabamento","nvarchar","20","0","0","True","False",""
"Preco_Produto","3","Pre_Codindice","nvarchar","40","0","0","True","False",""
"Preco_Produto","4","Pre_Tabela","money","8","19","4","True","False",""
"Preco_Produto","5","Pre_compra","money","8","19","4","True","False","(0)"
"Preco_Produto","6","Pre_Custo","money","8","19","4","True","False","(0)"
"Preco_Produto","7","Pre_Venda","money","8","19","4","True","False","(0)"
"Preco_Produto","8","Pre_Lucro","money","8","19","4","True","False","(0)"
"Preco_Produto","9","Pre_PorLucro","money","8","19","4","True","False","(0)"
"Preco_Produto","10","Pre_est_min","float","8","53","0","True","False","(0)"
"Preco_Produto","11","Pre_tp_vl","nvarchar","40","0","0","True","False",""
"Preco_Produto","12","usr_cod_criacao","int","4","10","0","True","False",""
"Preco_Produto","13","usr_dt_hr_criacao","smalldatetime","4","16","0","True","False",""
"Preco_Produto","14","usr_cod_alteracao","int","4","10","0","True","False",""
"Preco_Produto","15","usr_dt_hr_alteracao","smalldatetime","4","16","0","True","False",""
"Preco_Produto","16","Pre_Ativo","char","1","0","0","True","False",""
"Preco_Produto","17","pre_codigo","numeric","9","18","0","False","True",""
"Preco_Produto","18","Pre_EstMinCalcular","bit","1","1","0","True","False",""
"Preco_Produto","19","Pre_VlNFor","money","8","19","4","True","False",""
"Preco_Produto","20","Pre_CodBarra","varchar","100","0","0","True","False",""
"Preco_Produto","21","emp_codigo","int","4","10","0","True","False",""
"Preco_Produto","22","Pre_Fornecedor","int","4","10","0","True","False",""
"Preco_Produto","23","Tam_codigo","float","8","53","0","True","False",""
"Preco_Produto","24","Pre_CodForTamanho","varchar","30","0","0","True","False",""
"Preco_Produto","25","pre_observacao","varchar","300","0","0","True","False",""
"Produto_Relacionados","1","Pre_Cod_Prod_Pai","nvarchar","40","0","0","False","False",""
"Produto_Relacionados","2","Pre_Cod_Prod_filho","nvarchar","40","0","0","False","False",""
"Produto_Relacionados","3","pre_codigofor_pai","int","4","10","0","False","False","(0)"
"Produto_Relacionados","4","pre_codigofor_filho","int","4","10","0","False","False","(0)"
"Produto_Relacionados","5","pre_quantidade","float","8","53","0","True","False","(0)"
"Produto_Relacionados","6","pre_padrao","nvarchar","2","0","0","True","False",""
"Produto_Relacionados","7","pre_nao_relacionado","nvarchar","2","0","0","True","False",""
"Produto_Relacionados","8","usr_cod_criacao","int","4","10","0","True","False",""
"Produto_Relacionados","9","usr_dt_hr_criacao","smalldatetime","4","16","0","True","False",""
"Produto_Relacionados","10","usr_cod_alteracao","int","4","10","0","True","False",""
"Produto_Relacionados","11","usr_dt_hr_alteracao","smalldatetime","4","16","0","True","False",""
"Produto_Relacionados","12","pre_situacao","varchar","1","0","0","True","False",""
"Produto_Relacionados","13","pre_comissao","float","8","53","0","True","False",""
"Produto_Relacionados","14","Pre_Grupo","int","4","10","0","True","False",""
"produtos","1","Pro_codnosso","nvarchar","40","0","0","False","False",""
