"tabela","indice","type_desc","is_primary_key","is_unique","coluna","key_ordinal","is_included_column"
"dtproperties","pk_dtproperties","CLUSTERED","True","True","id","1","False"
"dtproperties","pk_dtproperties","CLUSTERED","True","True","property","2","False"
"Preco_Produto","PK__Preco_Produto__2E1BDC42","CLUSTERED","True","True","pre_codigo","1","False"
"Produto_Relacionados","PK_Produto_Relacionados","CLUSTERED","True","True","Pre_Cod_Prod_Pai","1","False"
"Produto_Relacionados","PK_Produto_Relacionados","CLUSTERED","True","True","Pre_Cod_Prod_filho","2","False"
"Produto_Relacionados","PK_Produto_Relacionados","CLUSTERED","True","True","pre_codigofor_pai","3","False"
"Produto_Relacionados","PK_Produto_Relacionados","CLUSTERED","True","True","pre_codigofor_filho","4","False"
"produtos","PK_produtos","CLUSTERED","True","True","Pro_codnosso","1","False"
"ProdutosFornecedores","PK_ProdutosFornecedores","CLUSTERED","True","True","Pro_codnosso","1","False"
"ProdutosFornecedores","PK_ProdutosFornecedores","CLUSTERED","True","True","For_codigo","2","False"
"ProdutosLocEstoque","PK_ProdutosLocEstoque","CLUSTERED","True","True","Pro_codnosso","1","False"
"ProdutosLocEstoque","PK_ProdutosLocEstoque","CLUSTERED","True","True","CodAcabamento","2","False"
"ProdutosLocEstoque","PK_ProdutosLocEstoque","CLUSTERED","True","True","EstTp_Codigo","3","False"
